Time,Vehicle#,Type,Light,Violation
12:35:54,556,car,unknown,NO
12:35:55,557,car,unknown,NO
12:35:55,558,car,unknown,NO
12:35:55,559,car,unknown,NO
12:35:55,560,car,unknown,NO
12:35:55,561,car,unknown,NO
12:35:55,562,car,unknown,NO
12:35:56,563,car,unknown,NO
12:35:56,564,car,unknown,NO
12:35:56,565,car,unknown,NO
12:35:56,566,car,unknown,NO
12:35:56,567,car,unknown,NO
12:35:56,568,car,unknown,NO
12:35:56,569,car,unknown,NO
12:35:57,570,car,unknown,NO
12:35:57,571,car,unknown,NO
12:35:57,572,car,unknown,NO
12:35:57,573,car,unknown,NO
12:35:57,574,car,unknown,NO
12:35:57,575,car,unknown,NO
12:35:57,576,car,unknown,NO
12:35:58,577,car,unknown,NO
12:35:58,578,car,unknown,NO
12:35:58,579,car,unknown,NO
12:35:58,580,car,unknown,NO
12:35:58,581,car,unknown,NO
12:35:58,582,car,unknown,NO
12:35:58,583,car,unknown,NO
12:35:59,584,car,unknown,NO
12:35:59,585,car,unknown,NO
12:35:59,586,car,unknown,NO
12:35:59,587,car,unknown,NO
12:35:59,588,car,unknown,NO
12:35:59,589,car,unknown,NO
12:35:59,590,car,unknown,NO
12:36:00,591,car,unknown,NO
12:36:00,592,car,unknown,NO
12:36:00,593,car,unknown,NO
12:36:00,594,car,unknown,NO
12:36:00,595,car,unknown,NO
12:36:00,596,car,unknown,NO
12:36:01,597,car,unknown,NO
12:36:01,598,car,unknown,NO
12:36:01,599,car,unknown,NO
12:36:01,600,car,unknown,NO
12:36:01,601,car,unknown,NO
12:36:01,602,car,unknown,NO
12:36:01,603,car,unknown,NO
12:36:02,604,car,unknown,NO
12:36:02,605,car,unknown,NO
12:36:02,606,car,unknown,NO
12:36:02,607,car,unknown,NO
12:36:02,608,car,unknown,NO
12:36:02,609,car,unknown,NO
12:36:02,610,car,unknown,NO
12:36:03,611,car,unknown,NO
12:36:03,612,car,unknown,NO
12:36:03,613,car,unknown,NO
12:36:03,614,car,unknown,NO
12:36:03,615,car,unknown,NO
12:36:04,616,car,unknown,NO
12:36:04,617,car,unknown,NO
12:36:04,618,car,unknown,NO
12:36:04,619,car,unknown,NO
12:36:04,620,car,unknown,NO
12:36:04,621,car,unknown,NO
12:36:05,622,car,unknown,NO
12:36:05,623,car,unknown,NO
12:36:05,624,car,unknown,NO
12:36:05,625,car,unknown,NO
12:36:05,626,car,unknown,NO
12:36:06,627,car,unknown,NO
12:36:06,628,car,unknown,NO
12:36:06,629,car,unknown,NO
12:36:06,630,car,unknown,NO
12:36:06,631,car,unknown,NO
12:36:07,632,car,unknown,NO
12:36:08,633,car,unknown,NO
12:36:08,634,car,unknown,NO
12:36:08,635,car,unknown,NO
12:36:09,636,car,unknown,NO
12:36:09,637,car,unknown,NO
12:36:09,638,car,unknown,NO
12:36:09,639,car,unknown,NO
12:36:09,640,motorcycle,unknown,NO
12:36:10,641,car,unknown,NO
12:36:10,642,motorcycle,unknown,NO
12:36:10,643,car,unknown,NO
12:36:10,644,motorcycle,unknown,NO
12:36:10,645,motorcycle,unknown,NO
12:36:10,646,motorcycle,unknown,NO
12:36:11,647,motorcycle,unknown,NO
12:36:11,648,motorcycle,unknown,NO
12:36:11,649,motorcycle,unknown,NO
12:36:11,650,motorcycle,unknown,NO
12:36:11,651,motorcycle,unknown,NO
12:36:17,652,car,unknown,NO
12:36:17,653,car,unknown,NO
12:36:17,654,car,unknown,NO
12:36:17,655,car,unknown,NO
12:36:17,656,car,unknown,NO
12:36:17,657,car,unknown,NO
12:36:17,658,car,unknown,NO
12:36:18,659,car,unknown,NO
12:36:18,660,car,unknown,NO
12:36:18,661,car,unknown,NO
12:36:18,662,car,unknown,NO
12:36:18,663,car,unknown,NO
12:36:18,664,car,unknown,NO
12:36:19,665,car,unknown,NO
12:36:19,666,car,unknown,NO
12:36:19,667,car,unknown,NO
12:36:19,668,car,unknown,NO
12:36:19,669,car,unknown,NO
12:36:19,670,car,unknown,NO
12:36:19,671,car,unknown,NO
12:36:20,672,car,unknown,NO
12:36:20,673,car,unknown,NO
12:36:20,674,car,unknown,NO
12:36:20,675,car,unknown,NO
12:36:20,676,car,unknown,NO
12:36:20,677,car,unknown,NO
12:36:20,678,car,unknown,NO
12:36:21,679,car,unknown,NO
12:36:21,680,car,unknown,NO
12:36:21,681,car,unknown,NO
12:36:21,682,car,unknown,NO
12:36:21,683,car,unknown,NO
12:36:21,684,car,unknown,NO
12:36:22,685,car,unknown,NO
12:36:22,686,car,unknown,NO
12:36:22,687,car,unknown,NO
12:36:22,688,car,unknown,NO
12:36:22,689,car,unknown,NO
12:36:22,690,car,unknown,NO
12:36:22,691,car,unknown,NO
12:36:23,692,car,unknown,NO
12:36:23,693,car,unknown,NO
12:36:23,694,car,unknown,NO
12:36:23,695,car,unknown,NO
12:36:23,696,car,unknown,NO
12:36:23,697,car,unknown,NO
12:36:23,698,car,unknown,NO
12:36:24,699,car,unknown,NO
12:36:24,700,car,unknown,NO
12:36:24,701,car,unknown,NO
12:36:24,702,car,unknown,NO
12:36:24,703,car,unknown,NO
12:36:24,704,car,unknown,NO
12:36:24,705,car,unknown,NO
12:36:25,706,car,unknown,NO
12:36:25,707,car,unknown,NO
12:36:25,708,car,unknown,NO
12:36:25,709,car,unknown,NO
12:36:25,710,car,unknown,NO
12:36:26,711,car,unknown,NO
12:36:26,712,car,unknown,NO
12:36:26,713,car,unknown,NO
12:36:26,714,car,unknown,NO
12:36:26,715,car,unknown,NO
12:36:26,716,car,unknown,NO
12:36:26,717,car,unknown,NO
12:36:27,718,car,unknown,NO
12:36:27,719,car,unknown,NO
12:36:27,720,car,unknown,NO
12:36:27,721,car,unknown,NO
12:36:27,722,car,unknown,NO
12:36:27,723,car,unknown,NO
12:36:28,724,car,unknown,NO
12:36:28,725,car,unknown,NO
12:36:28,726,car,unknown,NO
12:36:28,727,car,unknown,NO
12:36:28,728,car,unknown,NO
12:36:28,729,car,unknown,NO
12:36:28,730,car,unknown,NO
12:36:29,731,car,unknown,NO
12:36:29,732,car,unknown,NO
12:36:29,733,car,unknown,NO
12:36:29,734,car,unknown,NO
12:36:29,735,car,unknown,NO
12:36:29,736,car,unknown,NO
12:36:29,737,car,unknown,NO
12:36:30,738,car,unknown,NO
12:36:30,739,car,unknown,NO
12:36:30,740,car,unknown,NO
12:36:30,741,car,unknown,NO
12:36:30,742,car,unknown,NO
12:36:30,743,car,unknown,NO
12:36:30,744,car,unknown,NO
12:36:31,745,car,unknown,NO
12:36:31,746,car,unknown,NO
12:36:31,747,car,unknown,NO
12:36:31,748,car,unknown,NO
12:36:31,749,car,unknown,NO
12:36:31,750,car,unknown,NO
12:36:31,751,car,unknown,NO
12:36:32,752,car,unknown,NO
12:36:32,753,car,unknown,NO
12:36:32,754,car,unknown,NO
12:36:32,755,car,unknown,NO
12:36:32,756,car,unknown,NO
12:36:32,757,car,unknown,NO
12:36:33,758,car,unknown,NO
12:36:33,759,car,unknown,NO
12:36:33,760,car,unknown,NO
12:36:33,761,car,unknown,NO
12:36:33,762,car,unknown,NO
12:36:33,763,car,unknown,NO
12:36:33,764,car,unknown,NO
12:36:34,765,car,unknown,NO
12:36:34,766,car,unknown,NO
12:36:34,767,car,unknown,NO
12:36:34,768,car,unknown,NO
12:36:34,769,car,unknown,NO
12:36:34,770,car,unknown,NO
12:36:35,771,car,unknown,NO
12:36:35,772,car,unknown,NO
12:36:35,773,car,unknown,NO
12:36:35,774,car,unknown,NO
12:36:35,775,car,unknown,NO
12:36:35,776,car,unknown,NO
12:36:35,777,car,unknown,NO
12:36:36,778,car,unknown,NO
12:36:36,779,car,unknown,NO
12:36:36,780,car,unknown,NO
12:36:36,781,car,unknown,NO
12:36:36,782,car,unknown,NO
12:36:36,783,car,unknown,NO
12:36:37,784,car,unknown,NO
12:36:37,785,car,unknown,NO
12:36:37,786,car,unknown,NO
12:36:37,787,car,unknown,NO
12:36:37,788,car,unknown,NO
12:36:37,789,car,unknown,NO
12:36:37,790,car,unknown,NO
12:36:38,791,car,unknown,NO
12:36:38,792,car,unknown,NO
12:36:38,793,car,unknown,NO
12:36:38,794,car,unknown,NO
12:36:38,795,car,unknown,NO
12:36:38,796,car,unknown,NO
12:36:39,797,car,unknown,NO
12:36:39,798,car,unknown,NO
12:36:39,799,car,unknown,NO
12:36:39,800,car,unknown,NO
12:36:39,801,car,unknown,NO
12:36:39,802,car,unknown,NO
